defined_class	prefLabel	Taxonomy_label	Synonyms_from_taxonomy	Gross_cell_type	Taxon	Taxon_abbv	Brain_region	Cluster_IDs	Labelset	Dataset_url	Alias_citations	Short_form_citation	Minimal_markers	Allen_markers	Brain_region_abbv	Species_abbv	Individuals	part_of	has_soma_location	aligned_alias	marker_gene_set	nsforest_marker_gene_sets	CL	NT	NT_markers	MBA_assay	Subclass_markers	Atlas_url	Atlas_url_label	Matrix_url	Class_name	Parent_label	NT_label	Nomenclature_Layers	Nomenclature_Projection	MBA	MBA_text	Location_disclaimer	NT_disclaimer	NT_marker_1	NT_marker_2	NT_marker_3	NT_marker_4	NT_marker_5	NT_marker_6	NT_marker_7	NT_marker_8	MBA_1	MBA_1_cell_percentage	MBA_1_comment	MBA_2	MBA_2_cell_percentage	MBA_2_comment	MBA_3	MBA_3_cell_percentage	MBA_3_comment	MBA_4	MBA_4_cell_percentage	MBA_4_comment	MBA_5	MBA_5_cell_percentage	MBA_5_comment	MBA_6	MBA_6_cell_percentage	MBA_6_comment	MBA_7	MBA_7_cell_percentage	MBA_7_comment	CCF_acronym_freq	MBA_8	MBA_8_cell_percentage	MBA_8_comment	MBA_9	MBA_9_cell_percentage	MBA_9_comment	MBA_10	MBA_10_cell_percentage	MBA_10_comment	MBA_11	MBA_11_cell_percentage	MBA_11_comment	MBA_12	MBA_12_cell_percentage	MBA_12_comment	MBA_13	MBA_13_cell_percentage	MBA_13_comment	MBA_14	MBA_14_cell_percentage	MBA_14_comment	MBA_15	MBA_15_cell_percentage	MBA_15_comment
http://purl.obolibrary.org/obo/PCL_0110001	IT-ET Glut	01 IT-ET Glut	01 IT-ET Glut	CL:0000540	NCBITaxon:10090	Mmus	MBA:997	CS20230722_CLAS_01	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1038/s41586-023-06812-z	Yao et al. (2023), Whole Mouse Brain			MOp	Mouse	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_01		MBA:997			PCL:0130861	CL:0000540			EFO:0008992		https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDEgSVQtRVQgR2x1dAAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEBAoGsxo6BlhUgA4RqTf2EWBhNAAUABgEBAkZTMDBEWFYwVDlSMVg5Rko0UUUAA34AAAAEAAAIRzRJNEdGSlhKQjlBVFozUFRYMQAJTFZEQkpBVzhCSTVZU1MxUVVCRwAKAAsBbm9uZQACbm9uZQADAQQBAAIjMDAwMDAwAAPIAQAFAQECIzAwMDAwMAADyAEAAAABSzlKTjIzUDI0S1FDR0s5VTc1QQACU1kzU0xNTlBJRDNDNjhNR1M4VgADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDEgSVQtRVQgR2x1dAAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEAAoRQvx%2BDggl%2FA4SgGoeExD3ZBDJOUVRJRTdUQU1QOFBRQUhPNFAABYGvpkqB6awOgaCBR4CS1egGAAcAAAUABgEBAkZTMDBEWFYwVDlSMVg5Rko0UUUAA34AAAAEAAAINk1UN1VDNkVUWUVDQldGNTBQSwAJTFZEQkpBVzhCSTVZU1MxUVVCRwAKAAsBbm9uZQACbm9uZQADAQQBAAIjMDAwMDAwAAPIAQAFAQECIzAwMDAwMAADyAEAAAACAwA%3D	Reference data on Allen Brain Cell Atlas	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_01.h5ad	CS20230722_CLAS_01																																																														
http://purl.obolibrary.org/obo/PCL_0110002	NP-CT-L6b Glut	02 NP-CT-L6b Glut	02 NP-CT-L6b Glut	CL:0000540	NCBITaxon:10090	Mmus	MBA:997	CS20230722_CLAS_02	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1038/s41586-023-06812-z	Yao et al. (2023), Whole Mouse Brain			MOp	Mouse	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_02		MBA:997			PCL:0130862	CL:0000540			EFO:0008992		https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDIgTlAtQ1QtTDZiIEdsdXQAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAQKBrMaOgZYVIAOEak39hFgYTQAFAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACEc0STRHRkpYSkI5QVRaM1BUWDEACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAUs5Sk4yM1AyNEtRQ0dLOVU3NUEAAlNZM1NMTU5QSUQzQzY4TUdTOFYAAwQBRlMwMERYVjBUOVIxWDlGSjRRRQACATAyIE5QLUNULUw2YiBHbHV0AAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQAChFC%2FH4OCCX8DhKAah4TEPdkEMk5RVElFN1RBTVA4UFFBSE80UAAFga%2BmSoHprA6BoIFHgJLV6AYABwAABQAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAg2TVQ3VUM2RVRZRUNCV0Y1MFBLAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAIDAA%3D%3D	Reference data on Allen Brain Cell Atlas	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_02.h5ad	CS20230722_CLAS_02																																																														
http://purl.obolibrary.org/obo/PCL_0110003	OB-CR Glut	03 OB-CR Glut	03 OB-CR Glut	CL:0000540	NCBITaxon:10090	Mmus	MBA:997	CS20230722_CLAS_03	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1038/s41586-023-06812-z	Yao et al. (2023), Whole Mouse Brain			MOp	Mouse	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_03		MBA:997			PCL:0130863	CL:0000540			EFO:0008992		https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDMgT0ItQ1IgR2x1dAAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEBAoGsxo6BlhUgA4RqTf2EWBhNAAUABgEBAkZTMDBEWFYwVDlSMVg5Rko0UUUAA34AAAAEAAAIRzRJNEdGSlhKQjlBVFozUFRYMQAJTFZEQkpBVzhCSTVZU1MxUVVCRwAKAAsBbm9uZQACbm9uZQADAQQBAAIjMDAwMDAwAAPIAQAFAQECIzAwMDAwMAADyAEAAAABSzlKTjIzUDI0S1FDR0s5VTc1QQACU1kzU0xNTlBJRDNDNjhNR1M4VgADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDMgT0ItQ1IgR2x1dAAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEAAoRQvx%2BDggl%2FA4SgGoeExD3ZBDJOUVRJRTdUQU1QOFBRQUhPNFAABYGvpkqB6awOgaCBR4CS1egGAAcAAAUABgEBAkZTMDBEWFYwVDlSMVg5Rko0UUUAA34AAAAEAAAINk1UN1VDNkVUWUVDQldGNTBQSwAJTFZEQkpBVzhCSTVZU1MxUVVCRwAKAAsBbm9uZQACbm9uZQADAQQBAAIjMDAwMDAwAAPIAQAFAQECIzAwMDAwMAADyAEAAAACAwA%3D	Reference data on Allen Brain Cell Atlas	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_03.h5ad	CS20230722_CLAS_03																																																														
http://purl.obolibrary.org/obo/PCL_0110004	DG-IMN Glut	04 DG-IMN Glut	04 DG-IMN Glut	CL:0000540	NCBITaxon:10090	Mmus	MBA:997	CS20230722_CLAS_04	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1038/s41586-023-06812-z	Yao et al. (2023), Whole Mouse Brain			MOp	Mouse	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_04		MBA:997			PCL:0130864	CL:0000540			EFO:0008992		https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDQgREctSU1OIEdsdXQAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAQKBrMaOgZYVIAOEak39hFgYTQAFAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACEc0STRHRkpYSkI5QVRaM1BUWDEACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAUs5Sk4yM1AyNEtRQ0dLOVU3NUEAAlNZM1NMTU5QSUQzQzY4TUdTOFYAAwQBRlMwMERYVjBUOVIxWDlGSjRRRQACATA0IERHLUlNTiBHbHV0AAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQAChFC%2FH4OCCX8DhKAah4TEPdkEMk5RVElFN1RBTVA4UFFBSE80UAAFga%2BmSoHprA6BoIFHgJLV6AYABwAABQAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAg2TVQ3VUM2RVRZRUNCV0Y1MFBLAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAIDAA%3D%3D	Reference data on Allen Brain Cell Atlas	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_04.h5ad	CS20230722_CLAS_04																																																														
http://purl.obolibrary.org/obo/PCL_0110005	OB-IMN GABA	05 OB-IMN GABA	05 OB-IMN GABA	CL:0000540	NCBITaxon:10090	Mmus	MBA:997	CS20230722_CLAS_05	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1038/s41586-023-06812-z	Yao et al. (2023), Whole Mouse Brain			MOp	Mouse	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_05		MBA:997			PCL:0130865	CL:0000540			EFO:0008992		https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDUgT0ItSU1OIEdBQkEAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAQKBrMaOgZYVIAOEak39hFgYTQAFAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACEc0STRHRkpYSkI5QVRaM1BUWDEACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAUs5Sk4yM1AyNEtRQ0dLOVU3NUEAAlNZM1NMTU5QSUQzQzY4TUdTOFYAAwQBRlMwMERYVjBUOVIxWDlGSjRRRQACATA1IE9CLUlNTiBHQUJBAAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQAChFC%2FH4OCCX8DhKAah4TEPdkEMk5RVElFN1RBTVA4UFFBSE80UAAFga%2BmSoHprA6BoIFHgJLV6AYABwAABQAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAg2TVQ3VUM2RVRZRUNCV0Y1MFBLAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAIDAA%3D%3D	Reference data on Allen Brain Cell Atlas	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_05.h5ad	CS20230722_CLAS_05																																																														
http://purl.obolibrary.org/obo/PCL_0110006	CTX-CGE GABA	06 CTX-CGE GABA	06 CTX-CGE GABA	CL:4023064	NCBITaxon:10090	Mmus	MBA:997	CS20230722_CLAS_06	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1038/s41586-023-06812-z	Yao et al. (2023), Whole Mouse Brain			MOp	Mouse	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_06		MBA:997			PCL:0130866	CL:4023064			EFO:0008992		https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDYgQ1RYLUNHRSBHQUJBAAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQECgazGjoGWFSADhGpN%2FYRYGE0ABQAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAhHNEk0R0ZKWEpCOUFUWjNQVFgxAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAFLOUpOMjNQMjRLUUNHSzlVNzVBAAJTWTNTTE1OUElEM0M2OE1HUzhWAAMEAUZTMDBEWFYwVDlSMVg5Rko0UUUAAgEwNiBDVFgtQ0dFIEdBQkEAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAAKEUL8fg4IJfwOEoBqHhMQ92QQyTlFUSUU3VEFNUDhQUUFITzRQAAWBr6ZKgemsDoGggUeAktXoBgAHAAAFAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACDZNVDdVQzZFVFlFQ0JXRjUwUEsACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAgMA	Reference data on Allen Brain Cell Atlas	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_06.h5ad	CS20230722_CLAS_06																																																														
http://purl.obolibrary.org/obo/PCL_0110007	CTX-MGE GABA	07 CTX-MGE GABA	07 CTX-MGE GABA	CL:4023069	NCBITaxon:10090	Mmus	MBA:997	CS20230722_CLAS_07	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1038/s41586-023-06812-z	Yao et al. (2023), Whole Mouse Brain			MOp	Mouse	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_07		MBA:997			PCL:0130867	CL:4023069			EFO:0008992		https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDcgQ1RYLU1HRSBHQUJBAAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQECgazGjoGWFSADhGpN%2FYRYGE0ABQAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAhHNEk0R0ZKWEpCOUFUWjNQVFgxAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAFLOUpOMjNQMjRLUUNHSzlVNzVBAAJTWTNTTE1OUElEM0M2OE1HUzhWAAMEAUZTMDBEWFYwVDlSMVg5Rko0UUUAAgEwNyBDVFgtTUdFIEdBQkEAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAAKEUL8fg4IJfwOEoBqHhMQ92QQyTlFUSUU3VEFNUDhQUUFITzRQAAWBr6ZKgemsDoGggUeAktXoBgAHAAAFAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACDZNVDdVQzZFVFlFQ0JXRjUwUEsACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAgMA	Reference data on Allen Brain Cell Atlas	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_07.h5ad	CS20230722_CLAS_07																																																														
http://purl.obolibrary.org/obo/PCL_0110008	CNU-MGE GABA	08 CNU-MGE GABA	08 CNU-MGE GABA	CL:4023063	NCBITaxon:10090	Mmus	MBA:997	CS20230722_CLAS_08	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1038/s41586-023-06812-z	Yao et al. (2023), Whole Mouse Brain			MOp	Mouse	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_08		MBA:997			PCL:0130868	CL:4023063			EFO:0008992		https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDggQ05VLU1HRSBHQUJBAAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQECgazGjoGWFSADhGpN%2FYRYGE0ABQAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAhHNEk0R0ZKWEpCOUFUWjNQVFgxAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAFLOUpOMjNQMjRLUUNHSzlVNzVBAAJTWTNTTE1OUElEM0M2OE1HUzhWAAMEAUZTMDBEWFYwVDlSMVg5Rko0UUUAAgEwOCBDTlUtTUdFIEdBQkEAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAAKEUL8fg4IJfwOEoBqHhMQ92QQyTlFUSUU3VEFNUDhQUUFITzRQAAWBr6ZKgemsDoGggUeAktXoBgAHAAAFAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACDZNVDdVQzZFVFlFQ0JXRjUwUEsACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAgMA	Reference data on Allen Brain Cell Atlas	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_08.h5ad	CS20230722_CLAS_08																																																														
http://purl.obolibrary.org/obo/PCL_0110009	CNU-LGE GABA	09 CNU-LGE GABA	09 CNU-LGE GABA	CL:4023035	NCBITaxon:10090	Mmus	MBA:997	CS20230722_CLAS_09	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1038/s41586-023-06812-z	Yao et al. (2023), Whole Mouse Brain			MOp	Mouse	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_09		MBA:997			PCL:0130869	CL:4023035			EFO:0008992		https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDkgQ05VLUxHRSBHQUJBAAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQECgazGjoGWFSADhGpN%2FYRYGE0ABQAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAhHNEk0R0ZKWEpCOUFUWjNQVFgxAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAFLOUpOMjNQMjRLUUNHSzlVNzVBAAJTWTNTTE1OUElEM0M2OE1HUzhWAAMEAUZTMDBEWFYwVDlSMVg5Rko0UUUAAgEwOSBDTlUtTEdFIEdBQkEAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAAKEUL8fg4IJfwOEoBqHhMQ92QQyTlFUSUU3VEFNUDhQUUFITzRQAAWBr6ZKgemsDoGggUeAktXoBgAHAAAFAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACDZNVDdVQzZFVFlFQ0JXRjUwUEsACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAgMA	Reference data on Allen Brain Cell Atlas	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_09.h5ad	CS20230722_CLAS_09																																																														
http://purl.obolibrary.org/obo/PCL_0110010	LSX GABA	10 LSX GABA	10 LSX GABA	CL:0000540	NCBITaxon:10090	Mmus	MBA:997	CS20230722_CLAS_10	Class	https://purl.brain-bican.org/taxonomy/CCN20230722	https://doi.org/10.1038/s41586-023-06812-z	Yao et al. (2023), Whole Mouse Brain			MOp	Mouse	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_10		MBA:997			PCL:0130870	CL:0000540			EFO:0008992		https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMTAgTFNYIEdBQkEAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAQKBrMaOgZYVIAOEak39hFgYTQAFAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACEc0STRHRkpYSkI5QVRaM1BUWDEACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAUs5Sk4yM1AyNEtRQ0dLOVU3NUEAAlNZM1NMTU5QSUQzQzY4TUdTOFYAAwQBRlMwMERYVjBUOVIxWDlGSjRRRQACATEwIExTWCBHQUJBAAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQAChFC%2FH4OCCX8DhKAah4TEPdkEMk5RVElFN1RBTVA4UFFBSE80UAAFga%2BmSoHprA6BoIFHgJLV6AYABwAABQAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAg2TVQ3VUM2RVRZRUNCV0Y1MFBLAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAIDAA%3D%3D	Reference data on Allen Brain Cell Atlas	https://purl.brain-bican.org/taxonomy/CCN20230722/CS20230722_CLAS_10.h5ad	CS20230722_CLAS_10																																																														
